Marca;Modelo;Tipo;Contraseña de Homologación;Variante;Versión;Parte Fija Vin;Combustible;Eurotaxi;Cilindrada;Potencia;Tipo de Cambio;Nº Plazas;Mampara s/n;Comercializado s/n;Clasificación D.G.T.
CITROEN;CITROEN C-ELYSEE eco-glv;FE-CO1;e9*NKS*10152*00;FE14;FE14C1;VF7DDNFP0;GLP / GASOLINA;NO;1587;85.0;MANUAL 5V;5;SI;NO;ECO
CITROEN;CITROEN C-ELYSEE eco-glv;FE-CO1/1;e9*NKS*10153*00;FE14C;FE14C1C;VF7DDNFP0;GLP / GASOLINA;NO;1587;85.0;MANUAL 5V;5;SI;NO;ECO
CITROEN;CITROEN C-ELYSEE eco-glv;FE-CO2;e9*NKS*10331*00;FE15;FE15C1;VF7DDNFP6;GLP / GASOLINA;NO;1587;85.0;MANUAL 5V;5;SI;NO;ECO
CITROEN;CITROEN C-ELYSEE eco-glv;FECO2/1;e9*NKS*10332*00;FE15C;FE15C1C;VF7DDNFP6;GLP / GASOLINA;NO;1587;85.0;MANUAL 5V;5;SI;NO;ECO
CITROEN;CITROEN C-ELYSEE eco-glv;F;e9*KS07/46*6445*00;FECE;M/1;VF7DDNFP6;GLP / GASOLINA;NO;1587;85.0;MANUAL 5V;5;SI;SI;ECO
CITROEN;CITROEN C-ELYSEE eco-glv;F;e9*KS07/46*6445*00;FECE;M;VF7DDNFP6;GLP / GASOLINA;NO;1587;85.0;MANUAL 5V;5;SI;SI;ECO
CITROEN;CITROEN C-ELYSEE eco-glv;F;e9*KS07/46*6445;FECE;M/1;VF7DDNFP6;GLP / GASOLINA;NO;1587;85.0;MANUAL 5V;5;SI;SI;ECO
CITROEN;CITROEN C-ELYSEE eco-glv;F;e9*KS07/46*6445;FECE;M;VF7DDNFP6;GLP / GASOLINA;NO;1587;85.0;MANUAL 5V;5;SI;SI;ECO
DACIA;LODGY;SD;e2*2001/116*0314;JSDNV;JSDNV5;UU1JSDNV5;GLP / GASOLINA;NO;1598;75.0;MANUAL 6V;5;NO;NO;ECO
DACIA;LODGY;SD;e2*2001/116*0314;JSDJ3;JSDJ35;UU1JSDJ35;GLP / GASOLINA;NO;1598;60.5;MANUAL 6V;5;NO;NO;ECO
DACIA;LOGAN MCV;SD;e2*2001/116*0314;7SDN1;7SDN15;UU17SD;GLP / GASOLINA;NO;898;66.0;MANUAL 5V;5;NO;NO;ECO
DACIA;LODGY;SD;e2*2001/116*0314;0JES;NB5CG000M500;UU1J9220;GLP / GASOLINA;NO;1598;80.0;MANUAL 6V;5;NO;SI;ECO
DACIA;LOGAN MCV;SD;e2*2001/116*0314;07ES;JR5CR000M500;UU1K522;GLP / GASOLINA;NO;898;66.0;MANUAL 5V;5;NO;SI;ECO
FIAT;FIAT DOBLO;263;e3*2007/46*0007;AXN1B;LS5DN;ZFA263000;DIESEL;SI;1598;88.0;MANUAL 6V;5+1PMR;NO;SI;C
FIAT;TALENTO;FJL;e2*2007/46*0496;AR9M;MH1???6?0??;ZFAFJL?;DIESEL;SI;1598;92.0;MANUAL 6V;7;NO;SI;C
FIAT;TALENTO;FJL;e2*2007/46*0496;AR9M;MH1???6?2??;ZFAFJL?;DIESEL;SI;1598;92.0;MANUAL 6V;de 6+1PMR a 9 plazas (*);NO;SI;C
FIAT;TALENTO;FJL;e2*2007/46*0496;AR9M;MG1???6?0??;ZFAFJL?;DIESEL;SI;1598;107.0;MANUAL 6V;7;NO;SI;C
FIAT;TALENTO;FJL;e2*2007/46*0496;AR9M;MG1???6?2??;ZFAFJL?;DIESEL;SI;1598;107.0;MANUAL 6V;de 6+1PMR a 9 plazas (*);NO;SI;C
FIAT;FIAT DOBLO;263;e3*2007/46*0007;AXG1B;NNSD?;ZFA263000;GASOLINA - GAS NATURAL;NO;1368;88.0;MANUAL 6V;5;NO;SI;ECO
FIAT;FIAT TIPO;356;e3*2007/46*0373;WXF1B;W3A;ZFA356000;GLP / GASOLINA;NO;1368;88.0;MANUAL 6V;5;NO;SI;ECO
FIAT;FIAT TIPO;356;e3*2007/46*0373;SXF1B;05A;ZFA356000;GLP / GASOLINA;NO;1368;88.0;MANUAL 6V;5;NO;SI;ECO
FORD;FORD TRANSIT CONNECT;PJ2;e1*2001/116*0207*??;XVGA1C?X;?5??BZCASA??;WF07XXWPG7;DIESEL;SI;1499;74.2;MANUAL 5V;6;SI;SI;C
FORD;FORD TRANSIT CONNECT;PJ2;e1*2001/116*0207;XVGA1C?X;?5??BZCASA??;WF0UXXWPGU;DIESEL;SI;1499;74.2;MANUAL 5V;6;SI;SI;C
FORD;FORD TRANSIT CONNECT;PJ2;e1*2001/116*0207;XVGA1C?X;?5??BZCBSA??;WF0UXXWPGU;DIESEL;SI;1499;74.2;MANUAL 5V;6;SI;SI;C
FORD;FORD TRANSIT CONNECT;PJ2;e1*2001/116*0207;XVGA1C?X;?5??BZCBSA??;WF07XXWPG7;DIESEL;SI;1499;74.2;MANUAL 5V;6;SI;SI;C
FORD;FORD TRANSIT CONNECT;PJ2;e1*2001/116*0207;XWGA1C?X;?5??BZCBSA??;WF0UXXWPGU;DIESEL;SI;1499;88.2;MANUAL 6V;6;SI;SI;C
FORD;FORD TRANSIT CONNECT;PJ2;e1*2001/116*0207;XWGA1C?X;?5??BZCBSA??;WF07XXWPG7;DIESEL;SI;1499;88.2;MANUAL 6V;6;SI;SI;C
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207;XVGA1B?X;?5??BZCBSA??;WF0UXXWPGU;DIESEL;SI;1499;74.2;MANUAL 5V;6;SI;SI;C
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207;XVGA1B?X;?5??BZCBSA??;WF07XXWPG7;DIESEL;SI;1499;74.2;MANUAL 5V;6;SI;SI;C
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207;XVGA1B?X;?5??BZCASA??;WF0UXXWPGU;DIESEL;SI;1499;74.2;MANUAL 5V;6;SI;SI;C
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207;XVGA1B?X;?5??BZCASA??;WF07XXWPG7;DIESEL;SI;1499;74.2;MANUAL 5V;6;SI;SI;C
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207;XWGA1B?X;?5??BZCBSA??;WF0UXXWPGU;DIESEL;SI;1499;88.2;MANUAL 6V;6;SI;SI;C
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207;XWGA1B?X;?5??BZCBSA??;WF07XXWPG7;DIESEL;SI;1499;88.2;MANUAL 6V;6;SI;SI;C
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207;XWGB1B?X;?5??BZCBSA??;WF0UXXWPGU;DIESEL;SI;1499;88.2;AUTOMÁTICO 6V;6;SI;SI;C
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207;XWGB1B?X;?5??BZCBSA??;WF07XXWPG7;DIESEL;SI;1499;88.2;AUTOMÁTICO 6V;6;SI;SI;C
FORD;MONDEO HIBRIDO;BA7-HEV;e13*2007/46*1485;UACA1DZ;5LKBUEPP;WF0DXXWPCH;GASOLINA-ELECTRICIDAD;NO;1999;103.0;AUTOMÁTICO;5;SI;SI;ECO
FORD;MONDEO HIBRIDO;BA7-HEV;e13*2007/46*1485;UACA1DZ;5LKBZN00PUP;WF0DXXWPCH;GASOLINA-ELECTRICIDAD;NO;1999;103.0;AUTOMÁTICO;5;SI;SI;ECO
FORD;MONDEO HIBRIDO;BA7-HEV;e13*2007/46*1485;UACA1DZ;5LKBZU00PEP;WF0DXXWPCH;GASOLINA-ELECTRICIDAD;NO;1999;103.0;AUTOMÁTICO;5;SI;SI;ECO
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YMFS1?BX;?9WJCZCBSAX?;WF0?XXTTG?;DIESEL;SI;1995;96.0;MANUAL 6V;de 5+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YNFS1?BX;?9WJCZCBSAX?;WF0?XXTTG?;DIESEL;SI;1995;125.0;MANUAL 6V;de 5+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YNFS1?BX;?9WJCZCBSAU?;WF0?XXTTG?;DIESEL;SI;1995;125.0;MANUAL 6V;de 5+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YMFS1?BX;?9WRCZCBSAU?;WF0?XXTTG?;DIESEL;SI;1995;96.0;MANUAL 6V;de 5+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YMFS1?BX;?9WJCZCBSAU?;WF0?XXTTG?;DIESEL;SI;1995;96.0;MANUAL 6V;de 5+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YMFS1?BX;?9WGCZCBSAX?;WF0?XXTTG?;DIESEL;SI;1995;96.0;MANUAL 6V;de 5+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YMFS1?BX;?9WGCZCBSAU?;WF0?XXTTG?;DIESEL;SI;1995;96.0;MANUAL 6V;de 5+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YLFS1?BX;?9WJCZCBSA?D;WF0?XXGGT?;DIESEL;SI;1995;77.0;MANUAL 6V;de 5+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YLFS1?BX;?9WGCZCBSA?D;WF0?XXTTG?;DIESEL;SI;1995;77.0;MANUAL 6V;de 5+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YNFS1?BX;?9WRCZCBSAU?;WF0?XXTTG?;DIESEL;SI;1995;125.0;MANUAL 6V;de 5+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YMFS1?BX;?9APCZCBSAU?;WF0?XXTTG?;DIESEL;SI;1995;96.0;AUTOMÁTICO 6V;de 5+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YNFS1?BX;?9APCZCBSAX?;WF0?XXTTG?;DIESEL;SI;1995;125.0;AUTOMÁTICO 6V;de 5+1PMR a 9 plazas (*);SI;SI;C
FORD;MONDEO HIBRIDO;BA7-HEV;e13*2007/46*1485;UACA1DZ;5LKBNUPP;WF0DXXWPCH;GASOLINA-ELECTRICIDAD;NO;1999;103.0;AUTOMÁTICO;5;SI;SI;ECO
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YMFS1?BX;¿9APCZCBSAX?;WF0?XXTTG?;DIESEL;SI;1995;96.0;AUTOMÁTICO 6V;de 5+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YLFS1?BX;?9WJCZCBSA?C;WF0?XXTTG?;DIESEL;SI;1995;77.0;MANUAL 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YLFS1?BX;?9WGCZCBSA?C;WF0?XXTTG?;DIESEL;SI;1995;77.0;MANUAL 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YMFS1?BX;?9APCZCBSAY?;WF0?XXTTG?;DIESEL;SI;1995;96.0;AUTOMÁTICO 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YNFS1?BX;?9APCZCBSAY?;WF0?XXTTG?;DIESEL;SI;1995;125.0;AUTOMÁTICO 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YLFA1EBX;S9WJCSABCACTC;WF0?XXTTG?;DIESEL;SI;1995;77.0;MANUAL 5V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YMFA1EBX;M9WRCSABCACYD;WF0?XXTTG?;DIESEL;SI;1995;96.0;MANUAL 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YMFA1EBX;S9APCSABCACWE;WF0?XXTTG?;DIESEL;SI;1995;96.0;AUTOMÁTICO 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YMFA1EBX;S9WJCSABCACQC;WF0?XXTTG?;DIESEL;SI;1995;96.0;MANUAL 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YNFA1EBX;M9APCSABCACVD;WF0?XXTTG?;DIESEL;SI;1995;125.0;AUTOMÁTICO 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YNFA1EBX;M9WRCSABCACXD;WF0?XXTTG?;DIESEL;SI;1995;125.0;MANUAL 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YNFA1EBX;S9WJCSABCACSC;WF0?XXTTG?;DIESEL;SI;1995;125.0;MANUAL 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YMFA1DBX;E8APCSABCACWD;WF0?XXTTG?;DIESEL;SI;1995;96.0;AUTOMÁTICO 6V;de 5+1PMR a 8 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YMFA1DBX;E9WJCSABCACQD;WF0?XXTTG?;DIESEL;SI;1995;96.0;MANUAL 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YMFA1DBX;S9APCSABCACWE;WF0?XXTTG?;DIESEL;SI;1995;96.0;AUTOMÁTICO 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YMFA1DBX;S9WJCSABCACQC;WF0?XXTTG?;DIESEL;SI;1995;96.0;MANUAL 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YNFA1DBX;E8APCSABCACVD;WF0?XXTTG?;DIESEL;SI;1995;125.0;AUTOMÁTICO 6V;de 5+1PMR a 8 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YNFA1DBX;S9APCSABCACVE;WF0?XXTTG?;DIESEL;SI;1995;125.0;AUTOMÁTICO 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YNFA1EBX;E9WJCSABCACSD;WF0?XXTTG?;DIESEL;SI;1995;125.0;MANUAL 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YNFA1DBX;S9WJCSABCACSC;WF0?XXTTG?;DIESEL;SI;1995;125.0;MANUAL 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;FORD CUSTOM;FAC;e11*2007/46*0676;YNFA1DBX;E9WJCSABCACSD;WF0?XXTTG?;DIESEL;SI;1995;125.0;MANUAL 6V;de 6+1PMR a 9 plazas (*);SI;SI;C
FORD;MONDEO HIBRIDO;BA7-HEV;e13*2007/46*1485;UACC1DZ;5LKBZNAATTP;WF0DXXWPCH;GASOLINA-ELECTRICIDAD;NO;1999;103.0;AUTOMÁTICO;5;SI;SI;ECO
HONDA;CIVIC 4P. HIBRIDO;FD3;e11*2001/116*0271;1)LDA2,CVT;0;JHMFD36;GASOLINA-ELECTRICIDAD;NO;1339;70.0;AUTOMÁTICO;5;NO;NO;ECO
LANCIA;LANCIA DELTA;844;e3*2001/116*0279;AXA1A;G???;ZLA844000;GLP / GASOLINA;NO;1368;88.0;MANUAL 6V;5;NO;NO;ECO
LEXUS;IS300h;XE2(a);e11*2001/116*0206;AVE30(E);AVE30L-AEXLHW(1?);JTHBH5D2;GASOLINA-ELECTRICIDAD;NO;2494;133.0;AUTOMÁTICO;5;NO;SI;ECO
LEXUS;IS300h;XE2(a);e11*2001/116*0206;AVE30(E);AVE30L-AEXLHW(2?);JTHBH5D2;GASOLINA-ELECTRICIDAD;NO;2494;133.0;AUTOMÁTICO;5;NO;SI;ECO
MERCEDES-BENZ;3.5;639;e9*2001/116*0048;ZL9HM;0;WDF639;GASOLINA;SI;3498;190.0;AUTOMÁTICO;5;NO;NO;C
MERCEDES-BENZ;3.5;639;e9*2001/116*0048;ZL9HL;0;WDF639;GASOLINA;SI;3498;190.0;AUTOMÁTICO;5;NO;NO;C
MERCEDES-BENZ;3.5;639;e9*2001/116*0048;ZL9HM;0;WDF639;GASOLINA TRANSFORMADO GLP;SI;3498;190.0;AUTOMÁTICO;5;NO;NO;C
MERCEDES-BENZ;3.5;639;e9*2001/116*0048;ZL9HL;0;WDF639;GASOLINA TRANSFORMADO GLP;SI;3498;190.0;AUTOMÁTICO;5;NO;NO;C
MERCEDES-BENZ;VIANO;639/2;e1*2007/46*0457*??;LAC91280N;?A??????;WDF639;GASOLINA;SI;3498;190.0;AUTOMÁTICO 6V;5;NO;NO;C
MERCEDES-BENZ;VIANO;639/2;e1*2007/46*0457*??;LAC91280N;?A??????;WDF639;GASOLINA TRANSFORMADO GLP;SI;3498;190.0;AUTOMÁTICO 6V;5;NO;NO;C
MERCEDES-BENZ;VIANO;639/2;e1*2007/46*0457*??;LBC91280N;?A??????;WDF639;GASOLINA;SI;3498;190.0;AUTOMÁTICO 6V;5;NO;NO;C
MERCEDES-BENZ;VIANO;639/2;e1*2007/46*0457*??;LBC91280N;?A??????;WDF639;GASOLINA TRANSFORMADO GLP;SI;3498;190.0;AUTOMÁTICO 6V;5;NO;NO;C
